emp_no;dept_no;from_date;to_date
10010;d004;1996-11-24;2000-06-26
10010;d006;2000-06-26;9999-01-01
10020;d004;1997-12-30;9999-01-01
10030;d004;1994-02-17;9999-01-01
10040;d005;1993-02-14;2002-01-22
10040;d008;2002-01-22;9999-01-01
10050;d002;1990-12-25;1992-11-05
10050;d007;1992-11-05;9999-01-01
10060;d007;1989-05-28;1992-11-11
10060;d009;1992-11-11;9999-01-01
10070;d005;1985-10-14;1995-10-18
10070;d008;1995-10-18;9999-01-01
10080;d002;1994-09-28;1997-07-09
10080;d003;1997-07-09;9999-01-01
10090;d005;1986-03-14;1999-05-07
10100;d003;1987-09-21;9999-01-01
10110;d003;1986-08-22;9999-01-01
10120;d004;1996-07-06;9999-01-01
10130;d004;1988-06-21;9999-01-01
10140;d001;1991-03-14;9999-01-01
10150;d005;1986-11-16;9999-01-01
10160;d007;1993-12-06;9999-01-01
10170;d004;1986-01-02;1989-02-06
10180;d002;1994-07-01;9999-01-01
10190;d004;1986-06-23;9999-01-01
10200;d004;1994-02-17;2000-10-03
10200;d006;2000-10-03;9999-01-01
10210;d009;1996-02-24;9999-01-01
10220;d002;1997-09-16;9999-01-01
10230;d008;1996-06-16;9999-01-01
10240;d006;1998-10-06;9999-01-01
10250;d006;1992-08-30;9999-01-01
10260;d004;1993-02-01;9999-01-01
10270;d007;1991-09-26;9999-01-01
10280;d003;1995-01-27;9999-01-01
10290;d005;1991-09-18;9999-01-01
10300;d004;1991-05-17;9999-01-01
10310;d004;1990-10-24;2001-07-26
10320;d007;1988-11-03;2001-12-23
10330;d007;1993-10-08;9999-01-01
10340;d001;1988-03-30;9999-01-01
10350;d004;1991-05-11;1998-01-16
10360;d003;1996-09-04;9999-01-01
10370;d007;1992-04-18;9999-01-01
10380;d007;1985-03-19;9999-01-01
10390;d006;1989-05-17;9999-01-01
10400;d007;1993-10-17;9999-01-01
10410;d007;1993-10-16;1996-07-21
10420;d008;1988-01-17;2000-07-09
10430;d004;1998-07-05;1999-07-17
10430;d009;1999-07-17;9999-01-01
10440;d005;1997-04-04;2000-01-30
10440;d008;2000-01-30;9999-01-01
10450;d005;1997-08-24;9999-01-01
10460;d005;1999-06-30;2001-04-15
10470;d004;1989-09-19;9999-01-01
10480;d002;1988-05-18;1989-06-03
10490;d007;1992-11-22;9999-01-01
10500;d005;1996-12-16;9999-01-01
10510;d007;1990-04-20;1992-09-21
10510;d009;1992-09-21;9999-01-01
10520;d004;1996-09-05;9999-01-01
10530;d005;1987-09-23;9999-01-01
10540;d004;1994-05-03;9999-01-01
10550;d006;1985-02-03;9999-01-01
10560;d005;1996-09-03;9999-01-01
10570;d007;1986-06-16;2000-03-25
10580;d009;1991-03-02;9999-01-01
10590;d008;1986-04-09;9999-01-01
10600;d007;1992-04-27;9999-01-01
10610;d005;1997-03-30;9999-01-01
10620;d005;1990-11-10;9999-01-01
10630;d004;1997-01-13;9999-01-01
10640;d007;1992-12-04;9999-01-01
10650;d005;1992-10-04;9999-01-01
10660;d005;1988-08-12;1991-07-12
10670;d007;1988-03-23;9999-01-01
10680;d005;1992-11-21;1998-12-08
10690;d004;1995-10-04;9999-01-01
10690;d005;1989-08-22;1995-10-04
10700;d005;1998-04-14;2002-06-27
10710;d007;1995-07-09;9999-01-01
10720;d004;2001-08-05;9999-01-01
10720;d008;1996-06-26;2001-08-05
10730;d004;1996-05-27;1998-06-07
10730;d005;1996-05-14;1996-05-27
10740;d005;1996-04-30;2002-03-17
10750;d005;1998-11-06;9999-01-01
10760;d002;1997-08-22;9999-01-01
10770;d007;1987-12-25;1989-02-27
10780;d004;1994-08-01;1996-08-18
10790;d004;1999-03-02;9999-01-01
10800;d004;1993-05-20;9999-01-01
10810;d007;1994-09-07;9999-01-01
10820;d001;1992-06-26;9999-01-01
10830;d001;1991-08-24;9999-01-01
10840;d004;1993-06-04;9999-01-01
10850;d002;1990-04-22;1995-05-11
10860;d006;1998-01-22;9999-01-01
10870;d004;1988-01-13;9999-01-01
10880;d004;1992-01-11;9999-01-01
10890;d007;1990-03-10;9999-01-01
10900;d005;1995-09-07;9999-01-01
10910;d009;1989-09-02;9999-01-01
10920;d003;1992-02-24;9999-01-01
10930;d004;1991-11-22;9999-01-01
10940;d005;1997-06-30;1999-12-02
10950;d004;1996-06-08;1998-01-13
10960;d007;1995-07-07;9999-01-01
10970;d004;1995-11-14;9999-01-01
10980;d005;1989-01-04;9999-01-01
10990;d005;1990-08-06;9999-01-01
11000;d005;1996-01-28;9999-01-01
11010;d002;1986-12-18;9999-01-01
11020;d005;1988-03-25;9999-01-01
11030;d007;1988-05-09;1988-07-08
11040;d003;1988-01-22;9999-01-01
11050;d001;1986-05-06;9999-01-01
11060;d007;1991-05-03;1991-09-27
11070;d006;1985-07-24;9999-01-01
11080;d006;1988-07-04;9999-01-01
11090;d004;1987-05-01;1988-08-20
11100;d008;1986-10-13;9999-01-01
11110;d004;1988-09-23;1992-03-30
11110;d009;1987-11-14;1988-09-23
11120;d007;1988-01-22;1996-06-19
11120;d009;1996-06-19;9999-01-01
11130;d003;1997-02-17;9999-01-01
11140;d005;1998-05-06;9999-01-01
11150;d007;1989-05-01;9999-01-01
11160;d005;1987-05-07;1991-04-12
11170;d005;1990-06-20;9999-01-01
11180;d005;1986-06-11;9999-01-01
11190;d001;1992-03-06;1997-07-31
11190;d007;1997-07-31;9999-01-01
11200;d005;1995-04-08;9999-01-01
11210;d003;1989-08-25;9999-01-01
11220;d008;1995-10-27;9999-01-01
11230;d005;1999-04-20;1999-11-01
11240;d005;1989-01-06;9999-01-01
11250;d004;1994-07-08;9999-01-01
11260;d009;1996-05-16;9999-01-01
11270;d008;1989-09-04;9999-01-01
11280;d009;1989-08-07;1998-04-14
11290;d005;1999-05-13;9999-01-01
11300;d005;1992-09-10;1996-12-20
11310;d007;1995-10-02;9999-01-01
11320;d001;1990-04-06;9999-01-01
11330;d004;1992-09-21;1998-05-20
11340;d004;1991-09-11;9999-01-01
11350;d005;1985-07-21;9999-01-01
11360;d007;1989-01-12;9999-01-01
11370;d005;1989-08-22;9999-01-01
11380;d005;1991-04-19;9999-01-01
11390;d004;1990-12-19;1992-02-26
11400;d004;1990-04-23;1992-06-05
11400;d006;1992-06-05;1992-07-08
11410;d005;1999-10-25;9999-01-01
11420;d003;1992-01-31;9999-01-01
11430;d007;1997-07-06;9999-01-01
11440;d005;1994-03-03;9999-01-01
11450;d006;1988-10-06;2000-07-13
11460;d004;1992-05-28;9999-01-01
11470;d005;1999-08-10;9999-01-01
11480;d007;1995-11-28;9999-01-01
11490;d008;1997-10-24;9999-01-01
11500;d005;1991-05-07;9999-01-01
11510;d003;1998-12-29;2001-04-01
11520;d001;1991-11-20;9999-01-01
11530;d007;1992-08-30;9999-01-01
11540;d004;1997-07-02;9999-01-01
11550;d004;1997-12-16;9999-01-01
11560;d008;1991-10-02;9999-01-01
11570;d001;1988-10-07;9999-01-01
11580;d004;1985-07-06;9999-01-01
11590;d005;1997-06-26;9999-01-01
11600;d004;1995-08-14;9999-01-01
11610;d004;1985-10-18;9999-01-01
11620;d005;1985-10-16;1987-06-17
11630;d008;1999-06-03;1999-08-24
11640;d005;1988-09-26;9999-01-01
11650;d009;1996-12-05;1999-04-01
11660;d007;1986-11-22;9999-01-01
11670;d003;1985-05-17;9999-01-01
11680;d007;1994-10-05;9999-01-01
11690;d003;1997-09-23;9999-01-01
11700;d008;1993-06-17;9999-01-01
11710;d002;1998-11-06;2000-05-07
11720;d007;1992-08-19;9999-01-01
11730;d007;1997-11-13;9999-01-01
11740;d001;1990-01-19;9999-01-01
11740;d007;1986-09-03;1990-01-19
11750;d004;1995-11-19;2001-03-15
11750;d009;2001-03-15;9999-01-01
11760;d004;1985-09-15;9999-01-01
11770;d005;1992-11-29;9999-01-01
11780;d004;1999-11-10;9999-01-01
11780;d005;1987-09-11;1999-11-10
11790;d005;1988-03-09;9999-01-01
11800;d005;1990-08-08;1994-05-08
11810;d005;1992-01-05;9999-01-01
11820;d005;1993-06-20;9999-01-01
11830;d007;1986-07-15;1994-03-13
11840;d007;1986-12-21;9999-01-01
11850;d007;1991-02-10;9999-01-01
11860;d004;1992-12-04;2002-01-03
11870;d004;1990-12-01;1999-02-13
11880;d007;1993-01-31;9999-01-01
11890;d007;1990-02-09;9999-01-01
11900;d004;1990-05-26;9999-01-01
11910;d005;1992-09-12;2002-07-09
11920;d005;1985-12-24;1996-03-29
11920;d008;1996-03-29;9999-01-01
11930;d004;1991-01-14;1992-01-11
11940;d005;1996-11-02;9999-01-01
11950;d005;1987-10-23;2002-06-25
11960;d008;1988-07-28;9999-01-01
11970;d005;1993-02-28;1994-09-13
11980;d007;1998-02-18;9999-01-01
11990;d005;1988-09-05;9999-01-01
12000;d004;1989-12-11;9999-01-01
12010;d004;1989-09-02;9999-01-01
12020;d002;1988-08-09;9999-01-01
12030;d003;1996-06-24;9999-01-01
12040;d001;1998-09-28;9999-01-01
12050;d004;1989-04-01;9999-01-01
12060;d006;1996-06-21;9999-01-01
12070;d005;1988-11-14;9999-01-01
12080;d007;1993-05-17;9999-01-01
12090;d004;1999-10-03;9999-01-01
12100;d007;1986-11-24;9999-01-01
12110;d004;1997-04-12;2002-05-22
12120;d002;1986-06-20;9999-01-01
12130;d001;1989-10-23;9999-01-01
12140;d003;1996-11-15;9999-01-01
12150;d004;1991-06-25;9999-01-01
12160;d007;1989-09-19;9999-01-01
12170;d001;2000-05-04;9999-01-01
12170;d003;1997-12-21;2000-05-04
12180;d005;1990-02-05;9999-01-01
12190;d005;1997-12-13;9999-01-01
12200;d004;1999-03-08;9999-01-01
12210;d008;1992-11-08;9999-01-01
12220;d002;1988-07-11;1991-05-21
12230;d005;1997-04-13;9999-01-01
12240;d004;1989-08-03;1993-03-29
12250;d005;1991-04-25;9999-01-01
12260;d004;1991-04-28;1991-05-09
12260;d005;1991-04-26;1991-04-28
12270;d008;1989-08-19;9999-01-01
12280;d005;1985-02-27;9999-01-01
12290;d002;1985-08-10;1989-07-31
12290;d007;1989-07-31;9999-01-01
12300;d004;1990-05-16;9999-01-01
12310;d005;1990-12-21;9999-01-01
12320;d005;1993-02-28;9999-01-01
12330;d007;1999-02-13;9999-01-01
12340;d005;1990-08-07;9999-01-01
12350;d006;1996-08-25;9999-01-01
12360;d004;1995-02-02;2001-02-17
12370;d006;1994-01-29;9999-01-01
12380;d001;1991-09-14;1991-09-15
12380;d003;1991-09-03;1991-09-14
12390;d007;1997-07-09;9999-01-01
12400;d007;1999-02-28;9999-01-01
12410;d005;1988-04-28;9999-01-01
12420;d004;1996-11-28;2000-06-30
12420;d009;2000-06-30;9999-01-01
12430;d001;1993-01-30;9999-01-01
12430;d007;1987-08-15;1993-01-30
12440;d005;1996-08-14;1999-07-30
12450;d005;1992-02-02;9999-01-01
12460;d007;1998-07-10;9999-01-01
12470;d004;1996-02-29;1998-06-22
12480;d002;1997-12-21;9999-01-01
12490;d005;1994-05-09;9999-01-01
12500;d004;1997-05-11;9999-01-01
12510;d004;1985-05-15;9999-01-01
12520;d004;1999-03-06;9999-01-01
12530;d005;1992-03-12;1999-12-18
12540;d003;1998-11-28;9999-01-01
12550;d004;1999-05-14;9999-01-01
12560;d007;1986-05-19;9999-01-01
12570;d004;1985-03-28;9999-01-01
12580;d004;1991-03-04;9999-01-01
12590;d007;1993-02-25;9999-01-01
12600;d005;1986-09-23;9999-01-01
12610;d004;1996-02-01;9999-01-01
12620;d007;1988-09-16;9999-01-01
12630;d009;1989-06-03;9999-01-01
12640;d007;1996-05-29;9999-01-01
12650;d005;1986-05-22;9999-01-01
12660;d007;1990-11-23;9999-01-01
12670;d004;1999-09-10;9999-01-01
12680;d001;1995-11-12;9999-01-01
12690;d007;1991-11-17;2001-03-08
12700;d006;1991-04-01;9999-01-01
12710;d005;1990-01-20;2001-11-30
12720;d007;1995-11-03;9999-01-01
12730;d005;1993-07-24;1998-03-24
12740;d008;1998-05-15;9999-01-01
12750;d005;1995-07-02;9999-01-01
12760;d004;1986-10-19;9999-01-01
12770;d007;1990-11-16;9999-01-01
12780;d004;1987-10-21;9999-01-01
12790;d007;1995-08-08;9999-01-01
12800;d007;1997-10-08;9999-01-01
12810;d005;1996-07-06;9999-01-01
12820;d009;1992-12-04;9999-01-01
12830;d005;1993-01-17;9999-01-01
12840;d005;1994-09-10;9999-01-01
12850;d001;1991-03-28;9999-01-01
12860;d004;1991-08-16;1994-04-02
12860;d009;1994-04-02;9999-01-01
12870;d007;1990-04-09;9999-01-01
12880;d007;1996-11-06;1999-06-02
12890;d007;1985-10-31;9999-01-01
12900;d004;1999-05-11;9999-01-01
12910;d009;1998-03-16;9999-01-01
12920;d005;1998-11-23;9999-01-01
12930;d004;1996-02-04;1997-10-02
12940;d005;1987-12-12;9999-01-01
12950;d009;1989-11-29;9999-01-01
12960;d005;1994-08-19;2001-08-25
12960;d008;2001-08-25;9999-01-01
12970;d005;1995-06-12;9999-01-01
12980;d005;1988-02-05;9999-01-01
12990;d006;1985-07-12;9999-01-01
13000;d005;1997-07-05;9999-01-01
13010;d005;1988-08-05;9999-01-01
13020;d001;1987-07-06;9999-01-01
13030;d001;1993-11-25;9999-01-01
13040;d005;1986-07-07;1987-10-19
13050;d001;1993-05-02;9999-01-01
13060;d005;1990-03-04;9999-01-01
